Timestamp,Device Name,Interface Name,IP Address,Subnet Mask
2024-11-12 16:29:43,R2,Ethernet1,10.0.10.2,255.255.255.0
2024-11-12 16:29:43,R2,Ethernet2,10.0.20.2,255.255.255.0
2024-11-12 16:29:43,R2,Management0,10.0.100.4,255.255.255.0
2024-11-12 16:29:43,R2,Ethernet1.10,10.0.101.2,255.255.255.0
2024-11-12 16:29:43,R2,Ethernet1.20,172.20.20.6,255.255.255.0
2024-11-12 16:29:43,R2,Ethernet1.30,192.168.0.2,255.255.255.0
2024-11-12 16:29:43,R2,Ethernet2.50,N/A,N/A
2024-11-12 16:29:43,R2,Ethernet1.100,N/A,N/A
2024-11-12 16:29:43,R2,Ethernet2.100,N/A,N/A
2024-11-12 16:29:43,R3,Ethernet1,10.0.101.3,255.255.255.0
2024-11-12 16:29:43,R3,Ethernet2,172.16.0.1,255.255.255.252
2024-11-12 16:29:43,R3,Ethernet3,172.16.0.5,255.255.255.252
2024-11-12 16:29:43,R3,Management0,172.20.20.2,255.255.255.0
2024-11-12 16:29:43,R3,Ethernet1.50,192.168.0.3,255.255.255.0
2024-11-12 16:29:43,R3,Ethernet1.100,N/A,N/A
2024-11-12 16:29:46,S1,Ethernet1,10.0.100.1,255.255.255.0
2024-11-12 16:29:46,S1,Ethernet2,172.20.20.5,255.255.255.0
2024-11-12 16:29:46,S1,Ethernet3,N/A,N/A
2024-11-12 16:29:46,S1,Ethernet4,N/A,N/A
2024-11-12 16:29:46,S1,Management0,N/A,N/A
2024-11-12 16:29:46,S1,Vlan100,N/A,N/A
2024-11-12 16:29:46,S2,Ethernet1,10.0.100.2,255.255.255.0
2024-11-12 16:29:46,S2,Ethernet2,172.20.20.3,255.255.255.0
2024-11-12 16:29:46,S2,Ethernet3,N/A,N/A
2024-11-12 16:29:46,S2,Ethernet4,N/A,N/A
2024-11-12 16:29:46,S2,Management0,N/A,N/A
2024-11-12 16:29:46,S2,Vlan100,N/A,N/A
2024-11-12 16:29:46,S3,Ethernet1,10.0.101.5,255.255.255.0
2024-11-12 16:29:46,S3,Ethernet2,172.20.20.8,255.255.255.0
2024-11-12 16:29:46,S3,Ethernet3,N/A,N/A
2024-11-12 16:29:46,S3,Ethernet4,N/A,N/A
2024-11-12 16:29:46,S3,Management0,N/A,N/A
2024-11-12 16:29:46,S3,Vlan100,N/A,N/A
2024-11-12 16:29:46,S4,Ethernet1,10.0.101.6,255.255.255.0
2024-11-12 16:29:46,S4,Ethernet2,172.20.20.10,255.255.255.0
2024-11-12 16:29:46,S4,Ethernet3,N/A,N/A
2024-11-12 16:29:46,S4,Management0,N/A,N/A
2024-11-12 16:29:46,S4,Vlan100,N/A,N/A
